"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados. Marque NO APLICA (N/A) en los caso que considere necesario.";"";"";"";"";"O10_En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"O11_Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6371793385";"160544450";"2017-09-02 6:58:27";"2017-09-02 7:12:23";"137.120.108.186";"Login estudiante16588";"";"";"";"4";"4";"4";"5";"4";"2";"4";"5";"5";"0";"0";"4";"9";"5";"4";"4";"4";"4";"4";"5";"4";"4";"3";"4";"3";"4";"4";"4";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"2";"3";"4";"4";"4";
"6371372097";"160544450";"2017-09-01 18:44:10";"2017-09-01 19:08:05";"181.57.241.21";"Login estudiante8562";"";"";"";"5";"5";"5";"5";"5";"3";"2";"5";"5";"5";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"5";"3";"5";"2";"5";"4";"5";"5";"5";"5";"5";"2";"4";"5";"5";"2";"2";"3";"3";"2";"3";"4";
"6370809805";"160544450";"2017-09-01 12:41:39";"2017-09-01 12:42:56";"70.196.128.167";"Login estudiante16589";"";"";"";"4";"2";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6370726622";"160544450";"2017-09-01 12:01:34";"2017-09-01 12:06:50";"157.253.250.169";"Login estudiante12347";"";"";"";"5";"5";"5";"5";"5";"3";"3";"4";"4";"4";"4";"4";"11";"5";"4";"3";"3";"4";"4";"2";"4";"4";"5";"5";"3";"4";"3";"4";"4";"3";"4";"3";"4";"4";"2";"2";"2";"3";"1";"1";"1";"3";"4";
"6370664573";"160544450";"2017-09-01 11:29:57";"2017-09-01 11:35:48";"190.25.48.178";"Login estudiante2706";"";"";"";"4";"4";"5";"5";"1";"1";"1";"1";"1";"1";"1";"1";"9";"4";"5";"1";"4";"1";"1";"1";"1";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"6368502122";"160544450";"2017-08-31 9:13:03";"2017-08-31 12:12:01";"157.253.157.109";"Login estudiante12381";"";"";"";"5";"5";"5";"4";"5";"5";"5";"4";"4";"5";"5";"5";"6";"5";"4";"2";"4";"4";"4";"4";"4";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"3";"3";"3";"3";"3";"5";
"6367885034";"160544450";"2017-08-30 23:18:52";"2017-08-30 23:30:39";"186.80.50.227";"Login estudiante12378";"";"";"";"3";"4";"4";"4";"2";"1";"3";"0";"4";"0";"0";"0";"7";"5";"2";"2";"4";"3";"3";"4";"2";"4";"1";"5";"1";"4";"3";"1";"2";"5";"4";"4";"4";"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";
"6367382516";"160544450";"2017-08-30 16:57:53";"2017-08-30 17:01:23";"152.201.216.184";"Login estudiante16590";"";"";"";"5";"5";"5";"5";"3";"2";"3";"2";"3";"3";"3";"3";"7";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6366961881";"160544450";"2017-08-30 13:43:46";"2017-08-30 13:44:20";"152.202.30.2";"Login estudiante16591";"";"";"";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6366755252";"160544450";"2017-08-30 12:09:41";"2017-08-30 12:18:19";"157.253.193.125";"Login estudiante7169";"";"";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"9";"4";"1";"1";"1";"1";"1";"1";"1";"5";"4";"3";"4";"4";"4";"5";"4";"4";"5";"4";"4";"5";"4";"3";"2";"4";"3";"5";"4";"5";"4";
"6366740521";"160544450";"2017-08-30 12:03:55";"2017-08-30 12:11:16";"157.253.186.146";"Login estudiante16592";"";"";"";"2";"5";"4";"4";"4";"3";"3";"3";"2";"4";"2";"4";"9";"5";"4";"5";"2";"4";"5";"2";"2";"5";"2";"1";"5";"3";"4";"5";"3";"5";"5";"2";"3";"4";"2";"2";"3";"1";"3";"2";"1";"2";"1";
"6366570699";"160544450";"2017-08-30 10:52:19";"2017-08-30 10:57:03";"181.48.208.66";"Login estudiante15890";"";"";"";"5";"5";"5";"5";"4";"5";"4";"5";"4";"0";"0";"5";"7";"4";"5";"4";"5";"4";"5";"5";"5";"5";"4";"5";"3";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";
"6366560016";"160544450";"2017-08-30 10:47:14";"2017-08-30 10:52:33";"157.253.154.44";"Login estudiante15905";"";"";"";"3";"4";"4";"4";"4";"4";"4";"4";"4";"0";"0";"0";"5";"5";"3";"4";"4";"4";"4";"3";"4";"4";"2";"2";"3";"4";"3";"3";"3";"4";"4";"3";"4";"5";"4";"4";"3";"2";"3";"3";"3";"3";"3";
"6366541054";"160544450";"2017-08-30 10:39:58";"2017-08-30 10:45:32";"186.29.201.27";"Login estudiante12236";"";"";"";"3";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"0";"3";"4";"3";"4";"5";"5";"3";"4";"5";"5";"4";"4";"3";"4";"3";"3";"3";"5";"4";"2";"4";"4";"3";"4";"4";"3";"3";"4";"4";"4";"5";
"6366504113";"160544450";"2017-08-30 10:25:25";"2017-08-30 10:25:50";"190.9.206.238";"Login estudiante12319";"";"";"";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6366483487";"160544450";"2017-08-30 10:16:22";"2017-08-30 10:22:19";"177.252.253.62";"Login estudiante12374";"";"";"";"4";"4";"4";"4";"4";"1";"5";"5";"5";"5";"4";"3";"12";"5";"4";"4";"4";"4";"4";"4";"2";"5";"1";"5";"3";"3";"5";"2";"4";"4";"4";"3";"4";"1";"4";"2";"1";"1";"1";"1";"1";"1";"2";
"6366455267";"160544450";"2017-08-30 10:03:54";"2017-08-30 10:08:37";"157.253.165.106";"Login estudiante16593";"";"";"";"4";"3";"4";"4";"5";"2";"4";"4";"4";"4";"4";"4";"8";"4";"4";"4";"2";"4";"1";"4";"3";"4";"4";"2";"4";"5";"5";"5";"3";"5";"3";"1";"4";"5";"5";"5";"1";"1";"2";"2";"2";"1";"5";
"";"";"";"";"";"";"";"";"";"4,076923077";"3,846153846";"3,961538462";"4,217391304";"3,52173913";"2,565217391";"3,391304348";"3,391304348";"3,47826087";"2,608695652";"2,260869565";"2,608695652";"7,565217391";"4,52173913";"3,727272727";"3,181818182";"3,363636364";"3,409090909";"3,272727273";"3,318181818";"3,333333333";"4,333333333";"3,285714286";"4,047619048";"2,80952381";"3,904761905";"3,904761905";"3,761904762";"3,714285714";"4,571428571";"4,380952381";"3,666666667";"4";"3,952380952";"3,380952381";"3,238095238";"2,619047619";"2,761904762";"2,619047619";"2,80952381";"2,619047619";"3";"3,857142857";
