X_new 	      y_new(polinomial)       	     y_new(lagrange)     		      y_new(numpy)       
78.12	          3.634661815e+25	          4.748782034e+10	              42.90745782
0.98	              26533025.32	         -4.984628903e+39	              91.80215638
67.59	          2.453916226e+21	              103888420.1	              25.72792547
8.69	              998309.0265	          2.880572735e+32	              74.20986955
55.69	          7.643587679e+14	              425.6295999	              44.87608656
48.12	          8.079763555e+12	              7403048.404	              47.83907822
13.24	             -1048.653633	          4.147053858e+26	              44.42542444
97.56	          1.325180341e+32	          2.444426343e+28	              127.9012827
25.69	             -19426064.11	          3.395700522e+20	              55.86909131
1.26	             -38212437.35	          5.679024094e+39	              72.43736309
