X_new 	      y_new(polinomial)       	     y_new(lagrange)     		      y_new(numpy)       
78.12	              11132621.46	              11132621.46	              11132621.46
0.98	              93.90809696	              93.90809696	              93.90809696
67.59	              7112651.387	              7112651.387	              7112651.387
8.69	              6500.494659	              6500.494659	              6500.494659
55.69	              564785.1468	              564785.1468	              564785.1468
48.12	              329557.5232	              329557.5232	              329557.5232
13.24	              232.0982829	              232.0982829	              232.0982829
97.56	              3926386.402	              3926386.402	              3926386.402
25.69	             -68182830.96	             -68182830.98	             -68182830.95
1.26	              34716196.73	              34716196.74	              34716196.72
